x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-304.6788,-1792.4008,7.0400,7.0600,0.0000
-304.6077,-1796.4051,7.0315,7.0687,0.0000
-304.5365,-1800.4095,7.0115,7.0886,0.0000
-304.4654,-1804.4138,6.9975,7.1025,0.0000
-304.3942,-1808.4182,6.9927,7.1073,0.0000
-304.3230,-1812.4226,6.9931,7.1069,0.0000
-304.2519,-1816.4269,6.9954,7.1046,0.0000
-304.1807,-1820.4313,6.9977,7.1023,0.0000
-304.1095,-1824.4356,6.9995,7.1005,0.0000
-304.0384,-1828.4400,7.0010,7.0990,0.0000
-303.9672,-1832.4443,7.0023,7.0977,0.0000
-303.8961,-1836.4487,7.0036,7.0964,0.0000
-303.8249,-1840.4530,7.0048,7.0952,0.0000
-303.7537,-1844.4574,7.0060,7.0940,0.0000
-303.6826,-1848.4618,7.0073,7.0927,0.0000
-303.6114,-1852.4661,7.0085,7.0915,0.0000
-303.5402,-1856.4705,7.0098,7.0902,0.0000
-303.4691,-1860.4748,7.0110,7.0890,0.0000
-303.3979,-1864.4792,7.0123,7.0877,0.0000
-303.3268,-1868.4835,7.0135,7.0865,0.0000
-303.2556,-1872.4879,7.0148,7.0852,0.0000
-303.1844,-1876.4923,7.0160,7.0840,0.0000
-303.1133,-1880.4966,7.0173,7.0827,0.0000
-303.0421,-1884.5010,7.0186,7.0814,0.0000
-302.9709,-1888.5053,7.0198,7.0802,0.0000
-302.8998,-1892.5097,7.0211,7.0789,0.0000
-302.8286,-1896.5140,7.0223,7.0777,0.0000
-302.7575,-1900.5184,7.0236,7.0764,0.0000
-302.6863,-1904.5228,7.0249,7.0751,0.0000
-302.6151,-1908.5271,7.0261,7.0739,0.0000
-302.5440,-1912.5315,7.0274,7.0726,0.0000
-302.4728,-1916.5358,7.0287,7.0713,0.0000
-302.4017,-1920.5388,7.0299,7.0701,0.0000
-302.3306,-1924.5405,7.0312,7.0688,0.0000
-302.2595,-1928.5407,7.0324,7.0676,0.0000
-302.1886,-1932.5396,7.0335,7.0665,0.0000
-302.1177,-1936.5370,7.0347,7.0653,0.0000
-302.0469,-1940.5331,7.0357,7.0643,0.0000
-301.9762,-1944.5276,7.0366,7.0634,0.0000
-301.9057,-1948.5206,7.0374,7.0626,0.0000
-301.8353,-1952.5122,7.0381,7.0619,0.0000
-301.7651,-1956.5049,7.0387,7.0613,0.0000
-301.6949,-1960.4987,7.0391,7.0609,0.0000
-301.6249,-1964.4937,7.0395,7.0605,0.0000
-301.5549,-1968.4898,7.0397,7.0603,0.0000
-301.4850,-1972.4873,7.0398,7.0602,0.0000
-301.4151,-1976.4859,7.0399,7.0601,0.0000
-301.3452,-1980.4857,7.0400,7.0600,0.0000
-301.2754,-1984.4869,7.0400,7.0600,0.0000
-301.2055,-1988.4894,7.0400,7.0600,0.0000
-301.1356,-1992.4920,7.0400,7.0600,0.0000
-301.0658,-1996.4946,7.0400,7.0600,0.0000
-300.9959,-2000.4972,7.0400,7.0600,0.0000
-300.9260,-2004.4999,7.0400,7.0600,0.0000
-300.8562,-2008.5026,7.0400,7.0600,0.0000
-300.7863,-2012.5054,7.0400,7.0600,0.0000
-300.7164,-2016.5083,7.0400,7.0600,0.0000
-300.6465,-2020.5113,7.0400,7.0600,0.0000
-300.5767,-2024.5144,7.0400,7.0600,0.0000
-300.5068,-2028.5174,7.0400,7.0600,0.0000
-300.4369,-2032.5204,7.0400,7.0600,0.0000
-300.3671,-2036.5234,7.0400,7.0600,0.0000
-300.2972,-2040.5264,7.0400,7.0600,0.0000
-300.2273,-2044.5291,7.0400,7.0600,0.0000
-300.1574,-2048.5316,7.0400,7.0600,0.0000
-300.0876,-2052.5338,7.0400,7.0600,0.0000
-300.0177,-2056.5356,7.0400,7.0600,0.0000
-299.9479,-2060.5371,7.0400,7.0600,0.0000
-299.8781,-2064.5383,7.0400,7.0600,0.0000
-299.8082,-2068.5393,7.0400,7.0600,0.0000
-299.7384,-2072.5401,7.0400,7.0600,0.0000
-299.6686,-2076.5406,7.0400,7.0600,0.0000
-299.5987,-2080.5411,7.0400,7.0600,0.0000
-299.5289,-2084.5415,7.0400,7.0600,0.0000
-299.4593,-2088.5420,7.0397,7.0603,0.0000
-299.3908,-2092.5426,7.0385,7.0615,0.0000
-299.3242,-2096.5432,7.0352,7.0648,0.0000
-299.2607,-2100.5439,7.0289,7.0712,0.0000
-299.2015,-2104.5446,7.0183,7.0818,0.0000
-299.1472,-2108.5455,7.0028,7.0974,0.0000
-299.0986,-2112.5464,6.9817,7.1187,0.0000
-299.0559,-2116.5474,6.9552,7.1452,0.0000
-299.0189,-2120.5485,6.9431,7.1568,0.0000
-298.9868,-2124.5494,6.9640,7.1372,0.0000
-298.9569,-2128.5503,7.0117,7.0948,0.0000
-298.9258,-2132.5510,7.0729,7.0429,0.0000
-298.8893,-2136.5515,7.1380,6.9908,0.0000
-298.8423,-2140.5516,7.2025,6.9437,0.0000
-298.7800,-2144.5513,7.2649,6.9029,0.0000
-298.6968,-2148.5502,7.3260,6.8675,0.0000
-298.5869,-2152.5479,7.3877,6.8356,0.0000
-298.4437,-2156.5442,7.4526,6.8046,0.0000
-298.2612,-2160.5382,7.5230,6.7721,0.0000
-298.0336,-2164.5293,7.6008,6.7362,0.0000
-297.7558,-2168.5166,7.6870,6.6959,-0.0019
-297.4231,-2172.4991,7.7821,6.6507,-0.0033
-297.0312,-2176.4757,7.8854,6.5998,-0.0061
-296.5764,-2180.4451,7.9813,6.5569,-0.0095
-296.0555,-2184.4062,8.0511,6.5433,-0.0138
-295.4668,-2188.3577,8.1012,6.5536,-0.0187
-294.8097,-2192.2986,8.1435,6.5750,-0.0242
-294.0844,-2196.2277,8.1872,6.5978,-0.0300
-293.2916,-2200.1441,8.2365,6.6177,-0.0342
-292.4325,-2204.0468,8.2931,6.6323,-0.0406
-291.5083,-2207.9350,8.3571,6.6415,-0.0474
-290.5205,-2211.8077,8.4269,6.6464,-0.0545
-289.4707,-2215.6643,8.5010,6.6485,-0.0617
-288.3603,-2219.5039,8.5780,6.6490,-0.0691
-287.1903,-2223.3255,8.6566,6.6487,-0.0766
-285.9615,-2227.1285,8.7362,6.6490,-0.0817
-284.6742,-2230.9119,8.8159,6.6493,-0.0891
-283.3288,-2234.6749,8.8961,6.6495,-0.0966
-281.9256,-2238.4167,8.9764,6.6495,-0.1039
-280.4650,-2242.1363,9.0569,6.6495,-0.1110
-278.9474,-2245.8328,9.1372,6.6493,-0.1178
-277.3730,-2249.5055,9.2171,6.6489,-0.1244
-275.7422,-2253.1534,9.2963,6.6494,-0.1286
-274.0555,-2256.7757,9.3737,6.6498,-0.1345
-272.3132,-2260.3715,9.4498,6.6500,-0.1400
-270.5158,-2263.9401,9.5248,6.6501,-0.1450
-268.6637,-2267.4806,9.5983,6.6500,-0.1494
-266.7574,-2270.9921,9.6701,6.6498,-0.1532
-264.7973,-2274.4738,9.7400,6.6494,-0.1562
-262.7838,-2277.9249,9.8077,6.6498,-0.1579
-260.7175,-2281.3446,9.8721,6.6501,-0.1597
-258.5988,-2284.7322,9.9339,6.6503,-0.1606
-256.4283,-2288.0867,9.9931,6.6504,-0.1609
-254.2064,-2291.4076,10.0493,6.6503,-0.1609
-251.9336,-2294.6939,10.1026,6.6501,-0.1609
