x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
294.3624,693.6667,7.6466,7.6468,-0.1571
294.1689,693.5036,7.6511,7.6502,-0.1571
293.9756,693.3406,7.6551,7.6535,-0.1571
293.7824,693.1776,7.6591,7.6569,-0.1571
293.5893,693.0147,7.6626,7.6602,-0.1571
293.3964,692.8518,7.6662,7.6635,-0.1571
293.2037,692.6890,7.6693,7.6666,-0.1571
293.0112,692.5263,7.6725,7.6698,-0.1571
292.8189,692.3635,7.6754,7.6728,-0.1571
292.6267,692.2006,7.6783,7.6757,-0.1571
292.4346,692.0377,7.6809,7.6784,-0.1571
292.2427,691.8747,7.6836,7.6811,-0.1571
292.0507,691.7115,7.6860,7.6837,-0.1571
291.8588,691.5481,7.6885,7.6861,-0.1571
291.6669,691.3845,7.6907,7.6884,-0.1571
291.4750,691.2207,7.6929,7.6906,-0.1571
291.2831,691.0566,7.6950,7.6927,-0.1571
291.0911,690.8923,7.6970,7.6946,-0.1571
290.8991,690.7278,7.6989,7.6965,-0.1571
290.7071,690.5631,7.7008,7.6983,-0.1571
290.5151,690.3982,7.7025,7.6999,-0.1571
290.3231,690.2332,7.7041,7.7015,-0.1571
290.1312,690.0680,7.7057,7.7029,-0.1571
289.9394,689.9027,7.7071,7.7043,-0.1571
289.7477,689.7373,7.7085,7.7055,-0.1571
289.5561,689.5718,7.7097,7.7068,-0.1571
289.3646,689.4063,7.7109,7.7078,-0.1571
289.1732,689.2406,7.7119,7.7089,-0.1571
288.9820,689.0750,7.7129,7.7098,-0.1571
288.7910,688.9093,7.7138,7.7107,-0.1571
288.6001,688.7436,7.7146,7.7115,-0.1571
288.4093,688.5779,7.7153,7.7123,-0.1571
288.2187,688.4121,7.7159,7.7130,-0.1571
288.0283,688.2463,7.7164,7.7136,-0.1571
287.8380,688.0805,7.7169,7.7141,-0.1571
287.6479,687.9146,7.7172,7.7146,-0.1571
287.4579,687.7487,7.7176,7.7150,-0.1571
287.2680,687.5827,7.7178,7.7154,-0.1571
287.0782,687.4167,7.7180,7.7157,-0.1571
286.8885,687.2505,7.7181,7.7159,-0.1571
286.6989,687.0842,7.7182,7.7161,-0.1571
286.5093,686.9179,7.7181,7.7162,-0.1571
286.3198,686.7514,7.7182,7.7162,-0.1571
286.1304,686.5847,7.7180,7.7162,-0.1571
285.9410,686.4179,7.7179,7.7161,-0.1571
285.7516,686.2510,7.7177,7.7159,-0.1571
285.5623,686.0840,7.7175,7.7157,-0.1571
285.3731,685.9168,7.7172,7.7154,-0.1571
285.1839,685.7496,7.7170,7.7153,-0.1571
284.9947,685.5821,7.7168,7.7152,-0.1571
284.8057,685.4146,7.7168,7.7151,-0.1571
284.6167,685.2470,7.7165,7.7148,-0.1571
284.4278,685.0792,7.7164,7.7144,-0.1571
284.2390,684.9114,7.7161,7.7140,-0.1571
284.0503,684.7435,7.7158,7.7136,-0.1571
283.8617,684.5756,7.7154,7.7132,-0.1571
283.6733,684.4076,7.7150,7.7127,-0.1571
283.4849,684.2395,7.7144,7.7122,-0.1571
283.2967,684.0714,7.7140,7.7117,-0.1571
283.1086,683.9033,7.7133,7.7111,-0.1571
282.9206,683.7351,7.7127,7.7106,-0.1571
282.7327,683.5670,7.7119,7.7099,-0.1571
282.5449,683.3987,7.7111,7.7091,-0.1571
282.3572,683.2305,7.7102,7.7083,-0.1571
282.1695,683.0622,7.7093,7.7074,-0.1571
281.9820,682.8939,7.7082,7.7064,-0.1571
281.7944,682.7255,7.7072,7.7053,-0.1571
281.6070,682.5570,7.7060,7.7042,-0.1571
281.4196,682.3886,7.7049,7.7031,-0.1571
281.2323,682.2201,7.7037,7.7019,-0.1571
281.0451,682.0516,7.7024,7.7007,-0.1571
280.8579,681.8831,7.7011,7.6995,-0.1571
280.6710,681.7145,7.6998,7.6983,-0.1571
280.4841,681.5460,7.6985,7.6970,-0.1571
280.2973,681.3776,7.6972,7.6958,-0.1571
280.1107,681.2091,7.6958,7.6946,-0.1571
279.9242,681.0406,7.6945,7.6934,-0.1571
279.7377,680.8722,7.6931,7.6923,-0.1571
279.5513,680.7037,7.6919,7.6912,-0.1571
279.3649,680.5352,7.6908,7.6901,-0.1571
279.1786,680.3666,7.6897,7.6891,-0.1571
278.9922,680.1979,7.6888,7.6881,-0.1571
278.8058,680.0292,7.6879,7.6873,-0.1571
278.6194,679.8605,7.6872,7.6865,-0.1571
278.4330,679.6916,7.6865,7.6858,-0.1571
278.2466,679.5227,7.6858,7.6851,-0.1571
278.0602,679.3538,7.6853,7.6846,-0.1571
277.8738,679.1848,7.6849,7.6841,-0.1571
277.6874,679.0158,7.6845,7.6837,-0.1571
277.5011,678.8468,7.6842,7.6835,-0.1571
277.3148,678.6777,7.6840,7.6832,-0.1571
277.1285,678.5086,7.6839,7.6831,-0.1571
276.9421,678.3395,7.6839,7.6830,-0.1571
276.7558,678.1702,7.6841,7.6830,-0.1571
276.5694,678.0008,7.6843,7.6830,-0.1571
276.3829,677.8313,7.6847,7.6831,-0.1571
276.1964,677.6616,7.6851,7.6832,-0.1571
276.0098,677.4918,7.6855,7.6834,-0.1571
275.8231,677.3218,7.6858,7.6836,-0.1571
275.6363,677.1517,7.6862,7.6838,-0.1571
275.4495,676.9813,7.6866,7.6840,-0.1571
275.2627,676.8109,7.6869,7.6844,-0.1571
275.0758,676.6403,7.6872,7.6846,-0.1571
274.8891,676.4696,7.6876,7.6849,-0.1571
274.7023,676.2988,7.6879,7.6852,-0.1571
274.5156,676.1279,7.6883,7.6855,-0.1571
274.3290,675.9569,7.6887,7.6857,-0.1571
274.1425,675.7858,7.6891,7.6861,-0.1571
273.9561,675.6146,7.6895,7.6864,-0.1571
273.7699,675.4434,7.6900,7.6868,-0.1571
273.5837,675.2721,7.6904,7.6872,-0.1571
273.3977,675.1006,7.6910,7.6877,-0.1571
273.2118,674.9291,7.6914,7.6881,-0.1571
273.0261,674.7575,7.6919,7.6887,-0.1571
272.8404,674.5858,7.6924,7.6892,-0.1571
272.6550,674.4140,7.6929,7.6897,-0.1571
272.4696,674.2420,7.6933,7.6902,-0.1571
272.2844,674.0700,7.6939,7.6907,-0.1571
272.0994,673.8979,7.6942,7.6911,-0.1571
271.9145,673.7256,7.6947,7.6916,-0.1571
271.7298,673.5532,7.6951,7.6920,-0.1571
271.5452,673.3807,7.6956,7.6923,-0.1571
271.3608,673.2081,7.6958,7.6927,-0.1571
271.1765,673.0353,7.6963,7.6930,-0.1571
270.9924,672.8624,7.6965,7.6933,-0.1571
270.8085,672.6894,7.6969,7.6935,-0.1571
270.6247,672.5163,7.6971,7.6937,-0.1571
270.4411,672.3430,7.6974,7.6939,-0.1571
270.2577,672.1696,7.6976,7.6941,-0.1571
270.0743,671.9960,7.6979,7.6942,-0.1571
269.8912,671.8223,7.6980,7.6944,-0.1571
269.7082,671.6484,7.6982,7.6945,-0.1571
269.5253,671.4744,7.6983,7.6947,-0.1571
269.3425,671.3002,7.6984,7.6948,-0.1571
269.1598,671.1259,7.6985,7.6949,-0.1571
268.9772,670.9514,7.6986,7.6950,-0.1571
